Indicator,Result
Lokoja LGA area (km²),3406.818623770666
Classified flood hazard area (km²),3348.6789487996566
High + Very High hazard area (km²),1305.1042635889326
High + Very High hazard area (%),38.97370525940538
Estimated population 2020,253853.883294676
Population represented by final risk map,221800.1150885134
Population risk-map coverage (%),87.37314245890252
Population in High + Very High final risk zones,71195.49951250484
High + Very High risk population (% of total),28.045857951229543
Classified final risk area (km²),3347.1902762671098
High + Very High final risk area (km²),110.38524628421571
High + Very High final risk area (%),3.297847961225579
Road length in High + Very High hazard zones (km),779.8877444612184
Educational facilities in High + Very High hazard zones,7.0
Health facilities in High + Very High hazard zones,21.0
AHP Consistency Ratio,0.009282691168439548
